x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13
-4,44;0,99;2,92;3,24;10,02;2,65;-2,1;-1,76;-3,24;6,95;-13,5;-3,09;-0,47
13,92;1,51;2,93;3,81;-3,15;2,2;-5,39;1,84;-2,7;-0,39;-0,55;-0,98;0,99
4,57;0,48;-0,62;4,52;1,41;1,35;4,95;1,51;4,12;-1,1;-5,09;0,7;1,36
6,58;1,48;-0,9;1,74;0,79;1,98;4,1;0,93;0,71;-2,11;-0,24;0,57;1,43
1,78;2,84;3,61;0,05;-0,33;2,49;0,72;1,28;2,06;3,86;0,64;-6,14;1,03
4,73;-0,3;-1,23;4,98;-0,09;1,24;-4,92;3,71;-0,58;-0,94;-0,3;1,61;1,02
0,77;2,94;2,24;4,58;9,39;3,94;-2,53;-1,58;0,37;5,51;1,54;-3,45;1,43
4,59;-3,77;-0,88;0,7;0,27;3,81;4,26;3,6;4,82;-5,86;-1,65;6,14;0,75
10,62;-0,39;2,02;-1,78;0,96;1,48;4,1;3,82;5,84;1,34;-2,69;-1,98;1,29
0,34;-2,83;2,47;9,82;1,24;3,53;-1,9;-1,31;1,29;0,4;-1,66;5,55;1,85
8,67;-1,14;-1,67;-0,26;-2;2,08;0,65;4,8;0,16;-1,35;2,89;-0,03;1,49
13,48;-1,11;-0,92;2;-7,21;0,95;5,03;4,81;0,49;-9,22;11,34;5,19;2,1
3,17;-0,71;3,01;4,76;3,73;0,96;-6,7;0,3;3,03;-2,03;2,04;1,24;1,3
7,09;1,67;2,19;-0,66;1,69;4,19;5,14;-1,88;5,03;1,07;1,59;-0,53;2,09
18,62;-0,46;2,29;-0,85;1,96;2,53;0,32;2,8;1,8;0,05;0,31;-0,47;1,79
15,03;-0,82;3,3;5,67;2,39;0,95;-1,83;2,74;2,37;-0,97;6,1;-1;2,03
15,13;0,51;-0,84;0,43;-6,83;2,62;3,44;1,28;2,24;-3,99;4,94;2,96;1,94
-1,05;1,63;-3,73;2,91;5,15;0,74;-0,33;3,59;2,65;2,87;-6,77;-2,19;0,36
5,81;1,01;1,67;1,57;0,07;0,91;3,25;1,9;0,06;-3,04;-1;-0,98;0,76
7,99;-1,03;2,83;6,93;-0,66;-0,14;4,06;2,08;3,86;1,55;-5,83;-1,69;1,37
-0,65;-2,48;0,87;14,03;3,52;2,18;-4,74;3,24;-0,47;-3,53;-6,45;2,83;0,63
4,13;1,32;-2,17;-1,8;2,84;1,62;5,86;1,59;3,55;-0,28;-5,38;0,6;1,53
2,41;-0,04;-2,52;-5,53;10,25;1,41;6,05;4,58;3,74;1,81;-3,64;-0,89;1,47
5,12;-0,03;2,53;4,47;-3,1;1,09;0,07;2,72;2,36;-0,32;-0,14;-1,26;0,99
2,93;1,02;2,95;-0,21;-0,87;1,62;1,23;0,65;0,11;-5,09;1,34;1,11;0,79
5,48;1,3;2,49;1,64;3,36;1,87;1,15;-1,53;2,41;1,57;-5,39;-2,25;0,92
13,96;2,13;-1,08;0,52;-1,45;4,78;-3,33;0,61;-2,02;2,27;8,94;-0,21;1,95
-4,89;3,1;3,75;1,3;9,81;2,33;1,09;-0,94;2,52;2,54;-11,89;-4,2;0,14
3,98;2,55;3,61;-3,5;-2,85;-0,25;5,16;-0,18;1,76;3,93;-1,18;-4,81;1,54
0,01;3,03;0,17;-1,27;-0,36;5,55;5,03;-1,57;1,92;5,85;4,7;-2,88;1,84
10,27;-3,46;-2,7;1,89;1,69;4,38;2,84;4,52;2,67;-1,14;3,57;5,37;1,93
11,19;0,19;2,91;3,99;-2,67;-0,18;-4,33;1,18;0,86;3,26;9,72;-3,89;1,93
-2,56;-1,63;2,98;1,07;7,43;-0,04;-1,06;2,5;-0,24;-3,17;2,59;1,24;0,84
7,22;1,51;8,52;3,73;-1,28;-0,1;2,83;-3,98;0,04;0,42;9,6;-4,82;1,97
11,52;-0,93;-0,51;0,21;-2,57;4,28;5,82;4,63;5,52;-3,56;-0,53;2,22;2,11
2,58;-1,48;4,26;3,03;4,6;-0,77;4,79;2,57;1,98;-4,2;-15,37;-0,3;0,03
5,43;-0,23;4,05;-0,63;-1,11;1,44;1,59;-0,86;-0,51;8,57;-7,44;-3,2;0,4
1,66;-0,48;1,22;-1,74;-2,27;2,5;6,39;0,9;3,78;-1,2;1,79;0,89;1,83
10,34;1,29;-1,69;3,01;-0,91;1,24;-0,16;2,25;1,9;-0,17;1,47;0,87;1,42
10,53;0,81;3,41;5,03;-2,49;5,14;4,24;0,39;3,84;-0,37;8;-1,08;3,05
6,37;1,53;-0,1;2,02;1,54;2,6;0,32;-1,74;0,95;2,79;-2,24;0,13;1,3
12,15;-0,96;3,22;-1,58;3,39;2,4;1,48;2,94;3,39;-7,47;0,01;4,06;1,51
3,95;1,01;6,82;4,19;-1,75;-1,69;0,32;-0,29;2,71;-0,19;-1,51;-3,03;1,16
2,92;2,97;3,6;-1,94;3,55;1,74;0,06;1,12;3,37;-2,58;1,61;-2,19;1,02
7,4;-1,65;-0,74;6,32;2,48;3,33;3,8;4,52;2,07;4,28;4,39;0,45;2,63
4,06;2,22;1,59;3,68;3,76;1,47;-3,04;-0,33;0,75;3,26;0,77;-3,43;1,78
6,96;-0,78;3,79;-2,74;-1,25;0,85;1,44;1,71;4,05;-5,16;3,17;2,13;1,32
5,04;-3,1;-1,35;7,28;3,97;4,51;-1,34;3,61;2,06;-1,6;-4,51;5,26;1,17
-5,37;0,64;4,44;4,99;5,71;0,66;-2,37;0,72;0,95;-0,93;-11;-1,9;0,34
5,56;-0,99;4,7;5,02;-2,48;-0,57;-0,5;1,72;-1,68;-4,15;-0,17;-0,29;0,3
2,66;1,76;1,63;-0,59;2,77;2,26;1,43;0,51;0,92;-2,28;2,23;2,25;1,19
-1,08;0,94;1,56;0,48;1,84;1,74;2,27;-0,11;0,75;-2,06;-5,52;0,87;0,32
14,13;-1,93;5,53;7,61;-0,97;-0,36;3,28;2,15;4,08;-4,43;4,3;0,61;2,56
13,85;1,4;4,27;0,31;1,44;-0,05;4,47;2,63;2,04;0,07;0,43;-3,54;1,14
16,45;0,08;-0,94;0,17;-2,29;4,46;6,4;1,55;3,37;0,58;8,17;4,8;2,82
1,78;-2,35;-1,96;-4,54;-1,11;2,95;6,78;1,4;-0,16;-3,97;-1,95;4,58;0,5
15,49;1,29;0,23;-2,92;-0,44;2,32;7,87;0,28;4,06;-3,32;3,76;2,27;2,13
10,06;-0,82;8,93;0,64;-1,08;1,3;4,83;-0,37;2,59;1,62;3,6;-2,52;2,44
8,87;-0,27;0,7;0,47;-0,46;1,95;1,8;3,46;0,82;-1,16;-2,43;-0,76;1,17
14,01;4,09;2,83;4,17;-6,13;0,2;5,61;-0,29;0,65;1,83;13,75;-5,08;3,08
7,3;0,45;-0,11;1,76;3,12;1,45;6,91;0,42;4,46;0,17;0,15;1,16;1,72
4,68;0,19;-0,64;1,84;5,31;1,26;-0,14;1,7;3,1;-0,45;-0,31;0,17;1,31
9,05;0,25;3,13;5,67;9,05;-0,19;-1,58;1,87;-0,2;2,01;-13,18;-3,47;0,49
3,41;-1,75;0,3;2,61;0,24;3,17;2,22;3,88;2,68;1,5;5,13;0,13;1,98
10,36;-1,13;0,88;-0,7;-2,62;1,31;0,32;3,65;-0,11;0,15;-5,01;-0,24;0,56
9,87;-0,26;2,03;0,84;-0,14;0,7;3,05;-0,17;2,57;-2,9;0,27;0,86;1,42
6,3;-0,06;6,04;3,86;1,49;1,58;-1,63;1,13;0,69;0,03;-3,89;-1,24;0,62
11,22;2,34;5,09;-2,69;2,5;3,77;2,64;-1,3;1,04;2,75;-0,68;-2,94;1,56
-1,63;1,24;2,86;3,9;-1,3;1,15;-0,18;1,98;4,49;3,04;-5,27;-3,01;0,6
7,99;1,79;-0,48;-0,68;-1,94;3,01;6,58;1,33;4,3;-2,99;7,36;1,18;2,44
7,44;1,84;1,02;1,75;0,25;0,48;2,27;0,76;3,38;-3,3;-6,23;-0,85;0,62
6,32;1,92;1,76;-2,9;1,51;0,89;4,72;2,23;0,55;-4,75;0,6;-0,39;0,94
9,31;0;2,25;4,04;0,71;0,4;-0,18;3,68;5,71;-6,55;-2,11;0,89;1,2
10,91;1,01;4,41;7,52;-3,79;1,2;-1,72;1,14;1,3;-2,98;6,76;1,16;1,55
8,21;2,87;5,04;7,88;-0,55;1,35;-1,97;-1,84;6,15;7,58;3,3;-4,92;2,12
8,88;-1,62;0,53;-2,19;5,51;2,52;3,92;4,09;2,98;-7,62;-5,92;4,53;0,85
2,1;-2,88;4,53;-2,83;4,77;-0,12;1,7;1,42;1,6;-0,4;-1,07;0,71;0,88
11,82;-1,8;-0,19;-0,29;1,78;1,36;4,56;2,46;1,52;-4,38;3,57;2,89;1,94
0,1;0,05;2,39;6,19;-0,26;0,75;-0,56;3,34;0,55;-2,08;2,06;-0,69;1,12
10,67;1;0,09;4,66;2,76;5,26;2,94;0,33;2,41;0,16;1,74;1,17;1,9
10,65;-1,59;0,61;8,4;0,78;-0,63;-0,98;4,68;2,08;-2,39;5,47;1,13;2,05
7,61;1,31;3,46;0,42;2,71;1,31;4,07;-0,78;-1,89;-3,66;0,82;0,26;1,37
6,93;-1,93;-1,3;-2,66;-0,52;3,62;4,46;1,21;3,51;-5,17;-0,26;6,89;1,61
10,67;-0,25;3,27;1,59;0,7;4,51;4,82;1,44;1,72;-5,22;5,32;1,18;1,89
13,48;-0,02;4,21;-0,14;0,28;1,22;9,64;2,07;8,15;3;-0,02;-2,2;2,1
-1,89;-0,32;-0,36;7,21;4,18;6,47;1,15;3,37;2,45;-0,24;-4,76;1,1;1,59
-0,57;-0,44;4,11;-4,44;-2,59;0,53;2;-0,92;2,45;6,26;1,42;-1,89;0,72
3,7;-2,6;3,97;-1,51;3,37;-0,68;6,66;6,06;5,27;-5,55;-8,38;-0,94;0,94
3,27;0,31;4,55;-1,93;6,75;0,05;5,1;-0,57;2,91;5,56;-0,88;-3,21;1,95
9,87;-0,34;1,21;-1,87;-1,8;1,8;8,31;1,44;1,56;-0,5;6,2;2,16;2,54
13,2;2,49;2,05;2,59;2,43;1,22;0,29;0,15;-0,11;0,19;2,29;-3,25;1,71
8,08;0,79;5,27;1,74;6,95;0,78;5,05;-1,25;5,46;-0,84;-2,25;-0,41;1,5
7,9;-1,28;4,12;5,3;-3,47;2,63;-3,8;0,37;1,42;0,08;4,22;-1,05;1,36
1,49;-0,91;-0,12;-0,89;5,44;3,85;4,01;1,15;3,58;-1,03;1,14;2,3;1,57
1,65;0,03;-3,29;10,19;0,59;4,48;-1,05;1,69;3,02;-4,97;1,52;5,58;1,75
6,65;-0,85;-1,99;2,76;4,74;4,59;-0,34;1,93;1,29;-1,38;-9,85;3,78;0,93
6,94;1,82;-3,87;4,24;6,47;0,27;2,05;4,27;4,62;-3,93;2,42;0,36;1,74
6,54;0,94;-0,56;3,57;5,01;3,75;2,58;0,15;2,42;2,36;-0,55;0,96;1,97
13,6;0,46;0,32;-1,18;2,22;2,18;1,44;4,11;1,54;2,98;5,86;0,45;2,18
11,18;-0,7;1,28;4,42;0,5;1,35;-4,82;3,5;1,67;-4,95;7,73;3,31;2,27
7,72;-0,54;1,4;4,04;2,56;0,32;0,05;2,2;0,07;0,22;3,05;-1,04;1,36
2,21;2,21;1,43;1,56;4,64;2,03;5,11;0,01;3,7;3,28;4,7;-2,71;1,98
5,44;-1,36;-0,66;1,25;8,87;-1;1,34;6,19;2,3;1,81;-7,76;-2,92;0,48
7,98;-0,42;3,3;1,67;-0,04;2,43;4,48;1,36;2,61;-2,68;0,76;1,58;1,4
10,85;1,89;1,5;4,21;-0,2;2,7;-0,35;-2,61;3,2;2,78;0,99;-0,21;1,89
-4,08;-1,53;-2,51;-0,31;7,09;0,53;4,73;5,12;1,42;-0,67;-0,78;1,78;0,86
8,63;0,81;7,25;-1,28;2,41;0,67;3,43;0,22;-0,15;-4;3,27;-0,77;1,61
1,1;-0,98;1,63;9,94;7,26;1,53;-3,32;1,9;1,56;-3,35;-8,51;3,2;0,93
1,03;1,6;4,94;1,25;-1,82;0,56;4,98;0,83;1,72;-2,1;-2,3;-2,85;1,06
6,5;-1,02;-0,12;4,33;-3,45;1,37;0,36;3,44;2,26;-0,72;7,05;0,98;1,65
6,45;-0,46;4,04;-0,68;4,17;1,82;3,2;2,75;2;-0,36;-2,17;-1,41;1,3
7,94;0;0,3;1,65;-4,45;4,79;5,58;0,24;2,22;4,06;6,08;-0,08;2,45
4,37;0,89;-0,95;4,94;10,65;0,29;-1,45;3,76;2,2;0,8;-5,09;-0,82;1,05
9,61;1,41;-0,06;-1,3;-0,06;3,7;1,42;0,67;1,08;2,01;0,14;-1,28;1,14
5,2;-1,32;5,58;3,78;5,2;-0,04;0,26;-1,17;-2;4,99;-6,75;-2,78;0,87
9,94;4,35;4,35;3,42;10,18;-0,07;-0,37;-0,17;-2,19;-4,53;-8,29;-2,85;0,53
12,9;-0,39;0,6;0,84;-6,09;2,05;6,54;2,75;2,1;-1,37;7,2;1,14;2,16
7,58;0,5;2,79;-0,22;-1,46;0,68;2,7;0,79;3,28;0,12;5,35;-2,67;1,48
1,03;-0,2;0,96;4,97;-3,31;4,69;-0,68;4,32;-0,66;-7,23;2,05;1,03;0,65
11,83;0,85;5,36;-0,62;0,27;0,07;1,66;-1,31;-0,61;3,14;-1,55;-3,35;1,22
11,2;5,06;0,38;-1,78;2,86;2,62;5,57;-3,11;4,28;2,81;-4,67;-2,46;1,04
11,29;-1,53;2,27;-0,81;-5,56;0,52;-3,18;4,05;1,78;-4,97;-6,3;3,04;0,47
-1,89;1,82;0,6;0,64;7,88;4,32;1,76;2,96;3,33;2,36;-5,3;-2,46;1,07
4,06;-0,46;0,29;-0,01;5,12;0,7;5,14;2,95;1,06;-4,32;-0,52;0,81;0,7
11,2;-0,03;-4,26;-1,17;-2;3,71;4,09;0,97;3,74;1,08;2,79;3,47;1,65
9,76;1,35;0,19;-3,97;4,62;0,62;10,8;1,4;3,59;-2,02;-4,13;0,34;1,76
5,45;1,56;-2,06;4,3;4,73;0,38;-0,42;4,14;0,24;-4,8;-3,56;1,85;0,46
4,11;1,26;-0,41;7,08;6,05;6,58;-2,87;0,01;-1,79;5,23;-3,07;-1,7;1,44
5,58;0,48;-4,02;2,22;1,8;3,21;1,15;3,71;0,66;1;1;-0,61;1,22
0,89;-0,33;1,98;2,28;5,09;1,47;-0,41;0,27;0,42;-2,37;-2,29;1,77;0,97
1,78;3,51;-0,61;8,19;2,87;3,73;1,74;-1,46;5,8;2,54;-3,65;-1,04;1,62
13,1;-0,83;6,39;2,07;1,41;-2,45;3,85;4,66;1,66;-1,57;3,59;-5,54;2,61
5,14;0,57;5,04;-0,77;6;0,19;4,05;0,49;2,46;1,11;0,84;-1,64;1,59
5,68;4,22;2,14;-8,91;0,92;-0,35;6,57;0,8;1,63;-3,81;-2,36;-3,46;0,75
0,57;-2,7;4,48;-1,87;1,58;-0,04;1,41;3,38;1,9;-1,58;-3,63;1,24;0,7
3,27;0;5,17;4,55;2,33;1,02;-0,15;1,81;2,17;-4,01;-0,29;-1,13;1,25
-2,09;2,9;1,07;-0,7;6,17;5,46;3,01;3,14;2,15;5,07;-2,85;-6,91;1,3
2,44;-3,04;0,52;2,21;-4,71;2,66;5,25;1,13;1,94;-0,23;-0,86;4,9;1,7
-2,57;0,21;1,73;5,24;1,68;3,19;1,77;1,45;2,84;2,64;0,56;-1,86;1,16
2,29;-0,6;2,04;-1,88;5,04;1,65;3,31;2,8;0,42;-4,85;-9,76;2,45;0
2,25;-1,49;2,49;-3,22;6,64;2,11;3,05;2,48;-0,01;-2,11;5,55;1,6;1,76
11,06;0,37;0,63;3,56;-0,16;2,86;2,35;-0,56;1,28;1,99;8,96;0,81;2,78
7,99;-2,15;-0,25;3,2;3,2;4,75;-1,66;6,94;1,1;0,18;-0,9;1,27;2,16
4,5;-0,25;2,28;2,03;0,15;2,37;3,57;0,62;1,75;0,89;1,68;0,17;1,56
-0,44;-1,49;2,47;3,03;3,74;0,81;0,44;0,05;0,59;3,76;1,69;-0,52;1,19
3,94;-0,87;2,56;-2,4;2,06;2,52;1,82;3,44;-1,53;-4,05;-8,19;0,49;0,11
9,5;-1,27;2,77;-0,31;-3,85;1,62;2,08;-1,1;0,02;-1,78;-6,35;2,76;0,38
0,25;2,27;4,57;4,38;5,68;0,79;-3,97;-3,88;-2,58;2,51;-3,92;-2,94;0,42
1,38;1,06;-0,25;0,53;0,31;3,48;5,43;1,76;1,85;5,25;10,03;-0,7;2,53
7,55;-0,74;5,32;-3,76;-0,56;2,19;6,59;0,85;4,25;-2,34;6,63;-1,24;2,13
6,95;-0,91;3,02;1,38;4,46;0,98;0,61;3,56;2,41;0,33;-2,35;-1,21;1,35
4,25;-1,04;-0,86;0,56;5,7;0,84;-2,34;2,72;-0,7;-1,91;-6,62;0,8;-0,42
8,26;0,83;1,95;0,11;4,51;1,24;2,06;2,68;-0,74;1,83;6,2;-2,93;1,6
1,05;-2,7;2,15;5,1;0,66;1,65;-1,37;5,93;-0,66;-2,22;-0,37;2,52;0,8
3,9;-3,53;-0,47;0,46;0,59;2,85;0,01;6,06;2,07;-4,64;6,09;3,33;1,58
-0,99;-1,21;4,58;-0,4;4,34;-0,39;5,9;3,42;2,19;-3,26;-0,32;0,76;1,51
2,87;-0,68;0,96;-4,46;9,52;2,57;1,48;3,41;1,88;-1,75;1;0,43;1,46
4,98;-1,2;0,92;-1,09;-5,14;0,41;7,77;5,58;3,6;-5,25;2,62;2,04;1,38
1,95;1,68;0,26;-0,75;4,79;3,53;1,96;1,29;-0,09;0,23;1,49;0,5;0,94
9,53;1,18;4,78;2,29;-1,86;0,98;0,93;-0,75;5,34;-2,84;2,05;0,8;1,84
12,74;5,02;-2,11;-1,41;3,42;4,13;3,53;-3,9;0,19;5,26;-7,17;-0,67;0,78
4,95;2,31;-0,44;4,15;8;0,46;0,67;1,99;1,78;0,24;-3,83;-4,2;0,85
4,14;1,93;1,27;-0,84;5,09;2,73;1,41;-1,98;-0,53;-5,05;5,84;0,51;1,26
-1,76;0,99;-2,2;-0,09;0,92;3,79;3,51;4,61;2,3;-1,33;-3,75;0,55;0,96
-0,95;0,95;0,31;0,21;-0,42;2,73;4,79;0,86;3,14;-0,79;-2,57;0,78;1,56
10,96;-2,08;0,8;5,53;-1,47;3,62;0,02;3,04;1,64;-6,19;-0,27;4,02;1,48
12,6;-1,2;-3,6;2,33;-2,79;4,14;0,93;6,88;0,77;3,75;-1,31;-0,59;1,42
11,17;-3,05;2,72;-2,04;-1,56;1,14;6,02;1,29;2,1;1,73;-1,06;0,18;1,19
7,71;0,16;4,04;4,27;-0,42;2,95;3,17;-0,91;2,46;6,27;-5,11;-2,53;1,87
4,41;0,24;-1,25;7,6;0,87;0,6;2,4;5,12;2,17;-2,16;1,8;0,36;1,58
3,14;2,29;2,72;0,54;-0,82;1,53;0,54;-2,9;1,91;0,58;7,63;-0,42;1,49
13,26;2,14;2,3;8,05;-0,6;0,26;-1,26;1,03;1,07;1,75;4,63;-3,13;1,91
5,24;2,26;-1,56;2,43;9,39;2,49;2,41;2,51;1,35;0,72;-3,2;1,31;1,59
6,43;-0,86;8,08;-0,02;3,38;-0,72;-3,26;1,41;-1,63;-8,38;-5,53;1,22;0,02
4,23;-1,72;0,39;2;2,71;0,84;2,56;3,69;1,98;-4,33;5,27;3,68;1,29
4,33;0,47;-1,85;3,7;-2,02;2,96;-3,84;0,14;0,38;-3;1,12;3,74;1,03
2,4;1,96;-1,61;-0,28;3,79;3,23;14,71;1,93;4,74;0,2;2,36;0,07;2,17
6,11;-3,62;1,93;0,21;0,33;1,52;4,58;2,32;3,07;-3,13;-9,72;4,82;0,03
14,33;-1,12;2,16;5,99;-6,46;3,97;-5,84;4,01;1,81;1,97;1,51;-0,78;1,94
0,37;1,7;8,12;1,37;1,75;0,04;5,18;-2,36;2,21;6,27;-6,56;-5,37;1,06
7,42;-0,81;6,37;-4,37;0,53;2,11;1,85;0,16;4,05;-0,5;4,77;-2,44;1,83
5,58;-1,65;2,28;4,13;0,87;1,5;1,03;3,28;3,89;1,19;4,32;0,48;2,31
6,8;-1,68;0,43;4,76;5,23;1,55;1,16;3,5;3,58;-4,75;4,01;3,66;1,55
1,21;-0,83;1,33;-1,59;-1,56;2,55;-0,06;2,64;2,03;-1,43;7,22;2,06;1,3
2,62;-0,92;3,29;0,9;2,85;2,93;3,27;2,2;2,02;2,41;1,25;-1,9;1,73
7,36;-0,75;5,76;0,26;3,63;-0,68;0,5;4,61;2,55;4,56;0,53;-3,85;1,56
6,63;-0,51;1,47;0,26;3,15;0,42;3,59;2,83;2,49;-0,09;2,82;-0,24;1,51
7,67;-0,64;4,41;4,47;0,94;-0,69;-3,1;0,49;0,49;0,42;1,83;-1,2;1,07
14,15;-0,99;0,36;-1,01;-6,71;2,48;1,81;1,57;2,88;-0,35;7,53;3,16;2,23
11,45;-2,03;1,57;1,32;-1,13;3,29;1,15;1,92;1,07;0,02;-1,61;2,75;1,44
6,23;-0,28;4,76;4,93;-0,28;2,12;3,36;1,57;3,84;-4,79;1,6;-0,6;1,79
1,96;2,32;-2,21;5,65;6,83;5,48;6,43;1,52;2,54;0,53;-3,6;-1,97;1,51
2,76;2,47;-3,58;3,99;2,84;4,27;2,18;2,3;0,02;2,94;-8,14;-1,37;0,79
6,75;0,55;3,32;9,3;4,39;-0,14;-0,72;1,38;0,5;-7,05;-4,37;1,11;0,95
10,35;1,67;1,68;3,47;0,16;2,12;0,15;0,64;2,39;-3,86;4,56;2,48;2,06
18,52;2,07;2,9;3,68;-2,25;1,41;-0,85;-2,53;1,34;0,78;11,2;-1,79;1,9
4,84;1,08;-2,66;2,23;2,4;4,02;0,79;2;0,75;2,12;-7,12;0,39;1,11
7,49;-0,88;1,06;-1,6;8,87;5,4;4,73;4,38;2,77;-1,68;-11,3;0,83;1,02
3,86;5,45;4,29;4,85;1,27;0,17;-0,66;-0,84;2,38;-0,85;-0,22;-5,98;1,02
4,43;0,32;2,94;1,49;8,14;2,81;1,31;-0,56;1,47;-4,1;-0,2;2,32;1,66
